job_id,job_title,company_size,location,state,experience_level,remote_type,salary_min,salary_max,salary_avg,posted_date,requires_sql,requires_python,requires_tableau,requires_excel
JOB_00001,Business Analyst,Medium (200-1000),FL,FL,Senior,Onsite,83000,101000,92000,2025-10-09,True,True,True,False
JOB_00002,Senior Data Analyst,Large (1000-5000),CA,CA,Senior,Onsite,112000,136000,124000,2025-09-11,False,True,False,False
JOB_00003,Data Analyst II,Small (50-200),CA,CA,Senior,Onsite,107000,131000,119000,2025-09-25,False,True,True,False
JOB_00004,Business Analyst,Small (50-200),TX,TX,Mid,Hybrid,66000,80000,73000,2025-07-18,True,False,False,False
JOB_00005,Operations Analyst,Small (50-200),GA,GA,Entry,Remote,64000,78000,71000,2025-10-01,True,False,True,True
JOB_00006,Business Intelligence Analyst,Startup (<50),NY,NY,Mid,Hybrid,82000,100000,91000,2025-08-19,True,False,True,True
JOB_00007,Data Analyst,Enterprise (5000+),GA,GA,Entry,Remote,48000,58000,53000,2025-10-09,True,True,False,False
JOB_00008,Business Analyst,Medium (200-1000),VA,VA,Mid,Remote,71000,87000,79000,2025-09-15,True,True,False,False
JOB_00009,Data Analyst II,Medium (200-1000),CA,CA,Senior,Remote,125000,153000,139000,2025-08-09,True,True,True,True
JOB_00010,Business Intelligence Analyst,Large (1000-5000),WA,WA,Entry,Onsite,43000,53000,48000,2025-10-09,True,True,False,True
JOB_00011,Operations Analyst,Enterprise (5000+),MO,MO,Senior,Hybrid,80000,98000,89000,2025-09-17,True,True,False,True
JOB_00012,Operations Analyst,Small (50-200),FL,FL,Entry,Onsite,46000,56000,51000,2025-08-20,True,True,True,True
JOB_00013,Data Analyst II,Large (1000-5000),TX,TX,Mid,Remote,66000,80000,73000,2025-08-16,True,True,True,True
JOB_00014,Business Intelligence Analyst,Large (1000-5000),CA,CA,Senior,Onsite,126000,154000,140000,2025-09-07,False,False,False,True
JOB_00015,Data Analyst,Startup (<50),AZ,AZ,Entry,Hybrid,52000,64000,58000,2025-09-22,True,False,True,False
JOB_00016,Marketing Data Analyst,Small (50-200),TX,TX,Entry,Remote,63000,77000,70000,2025-08-30,True,False,False,True
JOB_00017,Senior Data Analyst,Medium (200-1000),MI,MI,Mid,Onsite,67000,81000,74000,2025-09-23,True,True,False,True
JOB_00018,Data Analyst II,Medium (200-1000),CO,CO,Mid,Onsite,67000,81000,74000,2025-08-30,True,True,True,True
JOB_00019,Business Analyst,Startup (<50),WA,WA,Mid,Remote,86000,106000,96000,2025-10-01,True,True,True,False
JOB_00020,Marketing Data Analyst,Small (50-200),TX,TX,Mid,Onsite,67000,81000,74000,2025-09-30,False,True,True,True
JOB_00021,Junior Data Analyst,Startup (<50),FL,FL,Mid,Remote,59000,73000,66000,2025-08-29,True,False,True,True
JOB_00022,Business Intelligence Analyst,Large (1000-5000),TN,TN,Senior,Onsite,76000,92000,84000,2025-09-09,True,True,True,True
JOB_00023,Data Analyst,Medium (200-1000),MN,MN,Entry,Onsite,46000,56000,51000,2025-08-15,True,False,False,True
JOB_00024,Operations Analyst,Large (1000-5000),NY,NY,Mid,Onsite,78000,96000,87000,2025-09-27,True,False,False,True
JOB_00025,Marketing Data Analyst,Small (50-200),CA,CA,Mid,Hybrid,83000,101000,92000,2025-10-02,False,True,False,True
JOB_00026,Operations Analyst,Large (1000-5000),MO,MO,Mid,Hybrid,53000,65000,59000,2025-09-05,True,True,False,True
JOB_00027,Business Intelligence Analyst,Small (50-200),FL,FL,Senior,Onsite,61000,75000,68000,2025-08-27,False,False,True,True
JOB_00028,Business Intelligence Analyst,Medium (200-1000),TX,TX,Entry,Onsite,52000,64000,58000,2025-09-18,False,False,True,True
JOB_00029,Business Analyst,Small (50-200),CA,CA,Entry,Onsite,64000,78000,71000,2025-10-07,True,False,True,False
JOB_00030,Data Analyst II,Large (1000-5000),KY,KY,Entry,Onsite,36000,44000,40000,2025-09-05,True,False,True,False
JOB_00031,Business Analyst,Medium (200-1000),NY,NY,Mid,Hybrid,92000,112000,102000,2025-09-13,True,True,True,True
JOB_00032,Business Analyst,Small (50-200),CA,CA,Senior,Remote,161000,197000,179000,2025-08-25,False,True,False,True
JOB_00033,Senior Data Analyst,Startup (<50),CA,CA,Mid,Onsite,66000,80000,73000,2025-08-15,True,True,False,True
JOB_00034,Junior Data Analyst,Small (50-200),NC,NC,Entry,Onsite,50000,61000,55000,2025-09-22,True,True,False,True
JOB_00035,Junior Data Analyst,Startup (<50),TN,TN,Entry,Remote,53000,65000,59000,2025-08-28,True,True,True,False
JOB_00036,Data Analyst II,Small (50-200),CT,CT,Mid,Hybrid,65000,79000,72000,2025-07-19,True,True,False,True
JOB_00037,Senior Data Analyst,Medium (200-1000),CA,CA,Senior,Onsite,94000,114000,104000,2025-07-15,False,False,False,False
JOB_00038,Business Analyst,Large (1000-5000),OH,OH,Senior,Onsite,68000,82000,75000,2025-07-27,True,True,True,False
JOB_00039,Data Analyst I,Large (1000-5000),NC,NC,Entry,Remote,54000,66000,60000,2025-08-05,True,True,True,True
JOB_00040,Data Analyst II,Medium (200-1000),CA,CA,Entry,Hybrid,58000,72000,65000,2025-09-22,True,True,False,True
JOB_00041,Financial Data Analyst,Small (50-200),NC,NC,Entry,Onsite,58000,70000,64000,2025-08-25,True,True,False,True
JOB_00042,Senior Data Analyst,Medium (200-1000),NC,NC,Senior,Onsite,77000,95000,86000,2025-07-23,True,True,False,True
JOB_00043,Operations Analyst,Small (50-200),CA,CA,Mid,Remote,89000,109000,99000,2025-09-14,True,False,False,False
JOB_00044,Junior Data Analyst,Medium (200-1000),NJ,NJ,Mid,Onsite,81000,99000,90000,2025-10-05,True,False,True,True
JOB_00045,Data Analyst II,Large (1000-5000),PA,PA,Mid,Remote,59000,73000,66000,2025-10-08,True,True,True,True
JOB_00046,Junior Data Analyst,Small (50-200),MO,MO,Senior,Onsite,86000,106000,96000,2025-08-22,True,True,False,False
JOB_00047,Senior Data Analyst,Enterprise (5000+),CA,CA,Senior,Hybrid,103000,125000,114000,2025-10-04,True,False,True,False
JOB_00048,Data Analyst II,Medium (200-1000),MD,MD,Mid,Remote,62000,76000,69000,2025-08-01,False,True,True,True
JOB_00049,Junior Data Analyst,Startup (<50),TN,TN,Mid,Hybrid,62000,76000,69000,2025-09-15,False,True,False,False
JOB_00050,Financial Data Analyst,Large (1000-5000),NJ,NJ,Mid,Onsite,64000,78000,71000,2025-08-23,True,True,True,True
JOB_00051,Financial Data Analyst,Large (1000-5000),FL,FL,Entry,Onsite,51000,63000,57000,2025-09-24,True,False,True,False
JOB_00052,Senior Data Analyst,Large (1000-5000),MN,MN,Mid,Onsite,108000,132000,120000,2025-09-25,False,True,False,True
JOB_00053,Data Analyst II,Startup (<50),NJ,NJ,Mid,Hybrid,73000,89000,81000,2025-08-02,True,False,True,False
JOB_00054,Operations Analyst,Medium (200-1000),MA,MA,Mid,Remote,85000,103000,94000,2025-09-09,False,True,True,True
JOB_00055,Business Intelligence Analyst,Small (50-200),CA,CA,Entry,Onsite,65000,79000,72000,2025-08-19,False,True,True,True
JOB_00056,Business Intelligence Analyst,Startup (<50),AZ,AZ,Entry,Onsite,40000,50000,45000,2025-08-22,True,False,False,True
JOB_00057,Junior Data Analyst,Medium (200-1000),CA,CA,Mid,Hybrid,60000,74000,67000,2025-09-14,True,True,True,True
JOB_00058,Data Analyst I,Startup (<50),MN,MN,Entry,Hybrid,54000,66000,60000,2025-08-08,True,True,True,True
JOB_00059,Financial Data Analyst,Medium (200-1000),CA,CA,Senior,Onsite,94000,116000,105000,2025-10-01,True,True,False,False
JOB_00060,Data Analyst,Large (1000-5000),CA,CA,Entry,Hybrid,62000,76000,69000,2025-09-28,False,True,True,False
JOB_00061,Data Analyst I,Large (1000-5000),NC,NC,Entry,Onsite,65000,79000,72000,2025-07-24,False,True,True,False
JOB_00062,Data Analyst I,Large (1000-5000),IL,IL,Entry,Hybrid,64000,78000,71000,2025-07-17,True,False,False,False
JOB_00063,Marketing Data Analyst,Startup (<50),CA,CA,Entry,Remote,72000,88000,80000,2025-07-28,True,False,True,False
JOB_00064,Business Analyst,Medium (200-1000),MA,MA,Entry,Hybrid,68000,82000,75000,2025-08-24,True,False,True,False
JOB_00065,Marketing Data Analyst,Medium (200-1000),NY,NY,Mid,Hybrid,79000,97000,88000,2025-07-28,True,False,False,True
JOB_00066,Financial Data Analyst,Large (1000-5000),FL,FL,Mid,Hybrid,67000,81000,74000,2025-08-06,True,False,False,False
JOB_00067,Senior Data Analyst,Medium (200-1000),NC,NC,Entry,Remote,52000,64000,58000,2025-08-03,False,False,False,True
JOB_00068,Data Analyst,Medium (200-1000),MO,MO,Mid,Hybrid,57000,69000,63000,2025-07-17,True,False,False,False
JOB_00069,Business Analyst,Small (50-200),IL,IL,Mid,Onsite,75000,91000,83000,2025-07-17,True,True,False,True
JOB_00070,Operations Analyst,Startup (<50),CA,CA,Mid,Onsite,77000,95000,86000,2025-09-08,True,True,False,True
JOB_00071,Junior Data Analyst,Medium (200-1000),CT,CT,Entry,Remote,70000,86000,78000,2025-09-28,True,False,True,True
JOB_00072,Senior Data Analyst,Small (50-200),MI,MI,Senior,Remote,94000,114000,104000,2025-08-18,True,True,True,True
JOB_00073,Data Analyst I,Medium (200-1000),CO,CO,Senior,Onsite,119000,145000,132000,2025-08-15,True,False,False,True
JOB_00074,Data Analyst,Medium (200-1000),TX,TX,Senior,Onsite,86000,105000,95000,2025-09-09,True,True,True,False
JOB_00075,Operations Analyst,Enterprise (5000+),CO,CO,Mid,Remote,93000,113000,103000,2025-09-20,False,True,False,True
JOB_00076,Operations Analyst,Startup (<50),TX,TX,Senior,Hybrid,95000,117000,106000,2025-09-29,True,False,True,True
JOB_00077,Senior Data Analyst,Enterprise (5000+),RI,RI,Entry,Remote,51000,63000,57000,2025-07-23,True,True,True,True
JOB_00078,Operations Analyst,Small (50-200),NC,NC,Mid,Remote,75000,91000,83000,2025-07-27,False,False,False,True
JOB_00079,Data Analyst II,Large (1000-5000),VA,VA,Mid,Onsite,71000,87000,79000,2025-09-23,False,False,True,True
JOB_00080,Junior Data Analyst,Large (1000-5000),CA,CA,Mid,Hybrid,76000,92000,84000,2025-09-22,True,False,False,True
JOB_00081,Operations Analyst,Large (1000-5000),FL,FL,Entry,Remote,44000,54000,49000,2025-08-06,True,True,True,True
